date,ndvi
2020-03-07,0.29939637090958343
2020-03-09,0.3001462365821589
2020-03-12,0.3004233652809598
2020-03-14,0.30018534703212807
2020-03-17,0.29945853354205065
2020-03-19,0.2982720589747343
2020-03-22,0.29665677125974194
2020-03-24,0.2946369863177487
2020-03-27,0.29222174311803567
2020-03-29,0.28941841580918914
2020-04-01,0.2862321256427824
2020-04-03,0.2826757175313166
2020-04-06,0.27876425041932973
2020-04-08,0.27452193119615653
2020-04-11,0.27003005226774035
2020-04-13,0.2653786512837932
2020-04-16,0.26061039709893563
2020-04-18,0.2557941901742774
2020-04-21,0.25105126336874467
2020-04-23,0.2464886101194601
2020-04-26,0.2422003664098225
2020-04-28,0.238269134601709
2020-05-01,0.23461961130874728
2020-05-03,0.23122422277894744
2020-05-06,0.22811841583428363
